complaint,department
"Sir please look into this, public auditorium sound acoustic panels and ceiling tiles falling down right in front of Co-operative Bank, severe safety hazard during municipal cultural programs. Please send team as soon as possible.",Municipal Services
"Sir please look into this, transformer oil leaking heavily onto the public pavement at Ward 106, transformer overheating and producing burning smell. Please send team as soon as possible.",Electricity
drange is chokd sewag watr floding rad near flyover landing Bypass Road,Drainage
Street light is not working in our lane full dark at night from last 3 days near Tilak Road Extension main gate. High danger.,Electricity
"Broken and overturned municipal litter bin with waste spilling everywhere on College Road, pedestrians walking into littered food packets and cups.",Sanitation
"In Vikas Enclave Ward 31, fish market waste thrown on road intolerable rotten stench for past one week. Very difficult situation.",Sanitation
Huge pit on road no warning board kept very dangerous at night close to APMC market yard since two weeks.,Roads
"In Indira Gandhi Colony Ward 67, storm felled a big tree across lane please send municipal chainsaw team from last 3 days. Very difficult situation.",Municipal Services
"Too many mosquitoes in our area dengue cases increasing please fog close to civil hospital gate, please take action immediately.",Public Health
plz help to mny mosquitos dangue spreding plz du fogin on Church Road,Public Health
Requesting immediate action as there is a faded stop line causing vehicles to stop directly inside pedestrian crossing right in front of ESI Hospital. This is walkers forced to weave between idling cars and motorcycles. Kindly take remedial action.,Traffic
"Open septic tank uncovered behind community center on Market Road, Ward 24, imminent drowning and asphyxiation hazard for young children.",Public Health
road cav in happend danger for citisens kindly fix in Rajaji Sector 3 ward 53,Roads
"In Shastri Nagar Ward 98, big dry tree branch can fall on our house roof please cut it urgently for past one week. Very difficult situation.",Municipal Services
"Asphalt layer completely peeled off leaving sharp stones at Old Post Office Junction, damaging vehicle suspensions and tires.",Roads
"No dustbin provided in our market area people throwing waste on street close to bus stop, please take action immediately.",Sanitation
"Due to concrete median road divider broken and knocked down by collision at Ward 134, it is vehicles making dangerous unauthorized U-turns across oncoming lane.",Traffic
Very serious hazard: massive pothole filled with stagnant rainwater right in front of Taluk Office! It is causing two-wheelers to slip and fall. Immediate action requested.,Roads
Public toilet is filthy and overflowing nobody cleaning it since weeks behind Railway Staff Colony after last rain.,Public Health
urgent crematrium furnas out of ordr pleas fix imedatly Gandhi Gram near town hall,Municipal Services
Swarm of honeybees built massive hive on public walkway tree at Nehru Roundabout.,Public Health
Open slaughter of animals in street blood running on road very unhygienic since past 10 days in Siddhartha Nagar. High danger.,Public Health
"Due to stray dog pack showing symptoms of rabies and aggressively chasing residents right in front of Fire Brigade Station, it is multiple dog bite incidents reported in the past 48 hours.",Public Health
"Opposite service road turn, water pressure is very low not even filling one bucket in 1 hour. Kindly resolve.",Water
"Close to metro pillar 142, rabid aggressive dog roaming in market area bit two children today. Kindly resolve.",Public Health
"In Adarsh Layout Ward 96, divider is broken cars taking dangerous u-turn causing accidents since morning. Very difficult situation.",Traffic
Autos and taxis blocking the entire left turn free lane opposite temple road for past one week.,Traffic
"In Kasturba Extension Ward 88, public park gate is broken drunkards entering at night and breaking benches since two weeks. Very difficult situation.",Municipal Services
"Haphazard commercial loading and unloading blocking arterial road during morning peak at Ward 41, ambulances and school buses trapped in jam.",Traffic
"In Vinayaka Nagar Ward 155, street light burning in afternoon time and turning off at 7 PM night since past 10 days. Very difficult situation.",Electricity
Main water pipe is broken drinking water running on road wastefully from last 3 days at the entry of Kasturba Extension. High danger.,Water
"Sir, no dustbin provided in our market area people throwing waste on street behind Fire Brigade Station. Nobody is responding.",Sanitation
Municipal swimming pool filtration plant broken with green algae bloom near Netaji Nagar main gate.,Municipal Services
Street light burning in afternoon time and turning off at 7 pm night near community hall from last 3 days.,Electricity
"Road sign is hidden behind tree branches motorists missing the turn near civil hospital gate, please take action immediately.",Traffic
watr loging knee dep aftr smal rain no drange outlt near town hall 6th Cross Avenue,Drainage
"In pragati colony, fish market waste thrown on road intolerable rotten stench. Kindly resolve.",Sanitation
Automatic sprinkler system in public park broken and shooting water into street at Clock Tower Square.,Municipal Services
to mny mosquitos dangue spreding plz du fogin near industrial estate gate Market Road,Public Health
"Near railway level crossing, water supply timing is very irregular please give water on fixed schedule. Kindly resolve.",Water
